healthScore,maxNumberCommit,numberCommit,orgName,repoName
0.6470588235294118,17,11.0,pbaffiliate4,"pbaffiliate4/repoSettingsCheckout"
0.6428571428571429,14,9.0,yaobao5354,"yaobao5354/ruby-objects-has-many-lab-online-web-sp-000"
0.6428571428571429,14,9.0,sourceconnect-tests,"sourceconnect-testing/connection"
0.6428571428571429,14,9.0,geiser,"geiser/phd-thesis-evaluation"
0.6428571428571429,14,9.0,"AsteroidTrackerUpdateSystem","AsteroidTracker/AsteroidTrackerService"
0.6363636363636364,11,7.0,sourceconnect-tests,"sourceconnect-testing/subscription"
0.6363636363636364,11,7.0,Roialfassi,"greendeveleap/gan_shmuel_green"
0.6333333333333333,30,19.0,twaclaw,twaclaw/malaga
0.632183908045977,87,55.0,kraj,kraj/poky
0.631578947368421,19,12.0,chrisplatorres,"chrisplatorres/exokit-web"
0.6286764705882353,272,171.0,rkchrome,rockchip-linux/minigui
0.6285714285714286,35,22.0,lfd-lists,"linux-mailinglist-archives/linux-arm-kernel.lists.infradead.org.0"
0.625,8,5.0,zsxs2,zsxs2/zs
0.625,8,5.0,gcf0082,gcf0082/trending
0.625,8,5.0,funilrys,"Ultimate-Hosts-Blacklist/lightswitch05_hosts_ads-and-tracking-extended"
0.625,8,5.0,wiccasoft,"wiccasoft/wiccasoft.github.io"
0.625,8,5.0,dotzero,dotzero/green
0.625,8,5.0,zsxs2,zsxs2/zsxs2.github.io
0.625,24,15.0,nemoluna,nemoluna/nemodb
0.625,16,10.0,triener,triener/home-weewx
0.625,72,45.0,mbakke,guix-mirror/guix
0.625,8,5.0,HoonSungKu,HoonSungKu/HoonSungKu2
0.625,8,5.0,cryptobigbro,"cryptobigbro/coinbasepro-ETH-EUR"
0.625,8,5.0,elnazz,"tommlogan/tommlogan.github.io"
0.625,48,30.0,lfd-lists,"linux-mailinglist-archives/devicetree.vger.kernel.org.0"
0.625,8,5.0,shopsystems-bot,wirecard/reports
0.625,8,5.0,mrhainavn,"mrhainavn/frameworks_base"
0.625,16,10.0,PolishJarvis,"PolishFiltersTeam/PolishAnnoyanceFilters"
0.625,24,15.0,simonw,simonw/sce-outages
0.625,8,5.0,context-machine,offstream-news/wiki-raw
0.625,8,5.0,LovesPictures,LovesPictures/AR_js
0.625,8,5.0,pjamenaja,pjamenaja/magnum-web
0.6190476190476191,21,13.0,sarkiroka,sarkiroka/iw
0.6190476190476191,21,13.0,peicheng,peicheng/hotterm
0.6190476190476191,21,13.0,DmitriiP,DmitriiP/hello-github
